action,entity_id,item_code,was_active,detail
REPOINT_ITEM,80d47ee3-196f-4a15-b66b-759555284c04,104504,True,categoryId -> Lighting/Electric
REPOINT_ITEM,25d7b31b-4642-438c-aad9-1809ac2ca035,104502,True,categoryId -> Lighting/Electric
REPOINT_ITEM,a8dca090-7b98-4052-a686-30f435044741,104503,True,categoryId -> Lighting/Electric
REPOINT_ITEM,c95a79e7-b84b-46b8-9c46-98892c428a55,1000AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,f53eddee-1e1c-4f2b-919f-58dcdf9e4a80,1200AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,9288daf0-5037-4160-a568-c70b6ac8ee54,1400AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,bdaae350-985b-4ecf-9ac6-f9e41652f573,1600AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,92f13043-08ff-4f13-a457-6bddae4bfde0,1800AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,2f0a3bbb-dfe5-4402-820c-8e023d205b95,225AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,0c205839-6fb4-4e35-bbd4-9205c18e85b9,350AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,383edbf7-8dd5-40d4-80b8-4e18a8e06b64,400AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,b6323f00-9e8a-4c1b-a82f-42d41e8942b9,500AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,4ad536ee-687d-4ae6-ad05-b38e6107d651,600AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,b1442838-8b83-4601-8e1f-0d70b4687b16,750AMP,True,categoryId -> Lighting/Electric
REPOINT_ITEM,5cca3a8f-534b-417b-95fc-f06e57c4e915,MOXION,True,categoryId -> Lighting/Electric
REPOINT_ITEM,02d25ab5-80e0-41a7-8222-e8790637143a,100AT2100A,True,categoryId -> Lighting/Electric
REPOINT_ITEM,a015c36a-343c-4250-b3a7-97d3c615a7fc,100AT260,True,categoryId -> Lighting/Electric
REPOINT_ITEM,d7ed3b50-198f-4183-8f6f-da3402ceb1b3,4-0-25,True,categoryId -> Lighting/Electric
REPOINT_ITEM,2bc6712c-42b3-4849-a484-b6b39e6ca5ad,40-50-C,True,categoryId -> Lighting/Electric
REPOINT_ITEM,a51bbac8-dd8d-40dc-95f0-89cee53fbeb0,400ADB,True,categoryId -> Lighting/Electric
REPOINT_ITEM,01bb8a61-7303-4546-9b55-4b04b6177402,4010C,True,categoryId -> Lighting/Electric
REPOINT_ITEM,2645530f-3f98-466d-a523-bc6a00389d88,460673,True,categoryId -> Lighting/Electric
REPOINT_ITEM,7c6d6a16-f074-4770-a543-25b9c126777a,5W10,True,categoryId -> Lighting/Electric
REPOINT_ITEM,b148c91c-5c69-4704-9a7a-6c5da02c173f,5W50,True,categoryId -> Lighting/Electric
REPOINT_ITEM,9a50264a-eb3a-49bd-982d-c976e8d14e7e,60260,True,categoryId -> Lighting/Electric
REPOINT_ITEM,48c1a042-23f0-463c-a2bf-9bc45681c1d7,60TO60,True,categoryId -> Lighting/Electric
REPOINT_ITEM,6a4363dc-0759-4ae5-9316-18ac31304f31,C2-0-100,True,categoryId -> Lighting/Electric
REPOINT_ITEM,8f1de32c-fbfc-4bb9-a345-ccc77e1d6c5e,C2-0-25,True,categoryId -> Lighting/Electric
REPOINT_ITEM,0d9e8e7a-e2b8-415e-8f8b-363517c5fa92,C2-0-50,True,categoryId -> Lighting/Electric
REPOINT_ITEM,a2182d4f-61f6-4c21-9a64-c6c214545287,DADCOLB,True,categoryId -> Lighting/Electric
REPOINT_ITEM,c896eafe-1fd1-41ec-8612-a125f37600f2,LUMINAIR,True,categoryId -> Lighting/Electric
